Last 365 - Daily (Solar)
Time,Value,Solar Radiation
3/29,157.0546875,193.6402828426027
3/30,187.98828125,250.71057643602455
3/31,207.00390625,301.71031846168125
4/1,181.958984375,240.01680209756765
4/2,84.451171875,104.1907021094504
4/3,231.72265625,300.69873416801295
4/4,207.162109375,278.5847287011428
4/5,122.607421875,139.90981424452306
4/6,234.720703125,299.2600295405717
4/7,120.890625,127.51124690271229
4/8,139.705078125,150.25644332062387
4/9,198.203125,234.97174215915035
4/10,227.470703125,294.8290408152831
4/11,176.619140625,215.39425317317964
4/12,234.166015625,303.8567064520799
4/13,189.271484375,230.4194020347887
4/14,228.658203125,281.8449732819697
4/15,156.337890625,172.47021412411453
4/16,211.396484375,280.3020873033748
4/17,192.556640625,244.1504010438
4/18,163.0703125,197.49886223075953
4/19,225.4140625,280.659421274374
4/20,213.15234375,266.65676343275385
4/21,228.97265625,287.22877422844726
4/22,143.880859375,172.82395140382508
4/23,113.279296875,154.93037920221502
4/24,14.30859375,59.21237264314506
4/25,238.5546875,287.0166114295627
4/26,256.326171875,329.7441202724561
4/27,254.783203125,325.5767309365555
4/28,194.49375000000143,555.5621904044018
4/29,302.37734374999854,487.04390404924226
5/1,5.611328125,38.23913017125105
5/2,234.5546875,293.11310109114254
5/3,250.84375,327.7108655574598
5/4,255.08984375,331.8461788471924
5/5,243.162109375,312.27628645113475
5/6,240.22304687499857,306.6097395591842
5/7,209.15781250000143,230.0190134568866
5/8,248.9296875,295.77755578245126
5/9,178.0703125,197.08467719184807
5/10,217.79296875,253.99720425277948
5/11,204.396484375,242.62404237667428
5/12,257.796875,335.613123878633
5/13,158.447265625,333.9395061629893
5/16,189.283203125,266.409197987474
5/17,172.166015625,185.93570594779897
5/18,172.796875,192.88712289333623
5/19,233.306640625,274.60496941372554
5/20,251.25390625,318.1928937168497
5/21,187.568359375,228.0002452270546
5/22,39.627343749998545,442.03539951582457
5/23,453.35117187500146,445.9720391228648
5/24,260.302734375,324.30102740277044
5/25,207.240234375,235.9490659441154
5/26,248.05078125,287.7054926462511
