Last 365 - Daily (Solar)
Time,Value,Solar Radiation
2/3,411.1328125,164.91590682885612
2/4,338.796875,135.31424725372844
2/5,251.61328125,98.12516141899681
2/6,396.4375,164.47020541518697
2/7,419.65234375,171.7759586326788
2/8,0,82.20057340305932
2/9,0,179.00134885022555
2/10,49.91796875,180.8939148419761
2/11,430.53125,177.20027131642829
2/12,438.3203125,184.53113413738708
2/13,311.8125,125.57529702988528
2/14,350.5625,151.32077748383082
2/15,402.0390625,191.7721788799672
2/16,0,100.33060279506041
2/17,0,96.25753578659516
2/18,0,61.87120500346712
2/19,0,196.39897636525623
2/20,0,205.36578859188205
2/21,0,144.10215713781008
2/22,0,216.97748386205467
2/23,0,213.78976903972625
2/24,14.91015625,189.8610758851255
2/25,2.4375,65.79670581416194
2/26,11.39453125,156.04885062147912
2/27,39.16015625,228.93182749976177
2/28,361.796875,227.13895574897504
3/1,415.91796875,168.48729260458876
3/2,484.671875,197.9763621374622
3/3,545.39453125,288.2492594790195
3/16,0,59.4457144328099
3/17,505.203125,221.5040361793384
3/18,576.49609375,235.15874500665356
3/19,107.66015625,106.33480940208489
3/20,146.7578125,49.16120611694904
3/21,482.92578125,252.1404251154125
3/22,485.3125,204.1754696580685
3/23,170.4375,86.61301833794141
3/24,231.80859375,93.014107626002
3/25,68.51171875,192.2329101691763
3/26,542.234375,224.5426742875169
3/27,636.2578125,265.8322164762397
3/28,617.0859375,263.0729579987882
3/29,459.875,193.6402828426027
3/30,566.046875,250.71057643602455
3/31,627.84375,301.71031846168125
4/1,553.65234375,240.01680209756765
4/2,245.8203125,104.1907021094504
4/3,697.4921875,300.69873416801295
4/4,620.6484375,278.5847287011428
4/5,369.8828125,139.90981424452306
4/6,697.30078125,299.2600295405717
4/7,336.82421875,127.51124690271229
4/8,424.7265625,150.25644332062387
4/9,592.43359375,234.97174215915035
4/10,676.9765625,294.8290408152831
4/11,504.13671875,215.39425317317964
4/12,696.66015625,303.8567064520799
4/13,594.68359375,230.4194020347887
4/14,666.5234375,281.8449732819697
4/15,405.6953125,172.47021412411453
4/16,634.1796875,280.3020873033748
4/17,569.87890625,244.1504010438
4/18,312.85546875,197.49886223075953
4/19,657.421875,280.659421274374
4/20,635.62109375,266.65676343275385
4/21,671.5859375,287.22877422844726
4/22,423.5859375,172.82395140382508
4/23,325.046875,152.68501138769017
4/24,47.25,59.21237264314506
4/25,682.69140625,287.0166114295627
4/26,756.890625,329.7441202724561
4/27,669.73828125,325.5767309365555
4/28,578.1726562499971,555.5621904044018
4/29,839.8390625000029,487.04390404924226
5/1,16.54296875,38.23913017125105
5/2,689.125,293.11310109114254
5/3,741.95703125,327.7108655574598
5/4,757.27734375,331.8461788471924
5/5,705.5078125,312.27628645113475
5/6,699.5804687499985,306.6097395591842
5/7,622.7945312500015,230.0190134568866
5/8,705.34765625,295.77755578245126
5/9,502.8203125,197.08467719184807
5/10,584.53515625,253.99720425277948
5/11,597.1875,242.62404237667428
5/12,743.99609375,335.613123878633
5/13,477.32421875,333.9395061629893
5/16,550.890625,266.409197987474
5/17,473.9921875,185.93570594779897
5/18,492.57421875,192.88712289333623
5/19,122.91015625,274.60496941372554
5/20,349.0546875,318.1928937168497
5/21,33.828125,228.0002452270546
5/22,0,442.03539951582457
5/23,0.03984374999708962,445.9720391228648
5/24,0,324.30102740277044
5/25,0,235.9490659441154
5/26,0,287.7054926462511
5/27,0,219.66675773095184
5/28,0,258.2943753362011
5/29,0,152.88765810377058
5/30,0,315.91671286710454
5/31,94.40234375,299.0671828838789
6/1,396.37109375,258.56837491525556
6/2,0,272.07591401634653
6/3,0,194.65463252365592
6/4,0,131.44572813256
6/5,0.4867187499985448,212.7686684896797
6/6,39.232031250001455,113.62966701854022
6/7,0,333.0427520264638
6/8,0,290.1604132569499
6/9,307.80859375,331.97812299626986
6/10,12.7109375,337.5583484413247
6/11,0,248.48699317487072
6/12,0,333.06305389106274
6/13,0,323.59654653900196
6/14,0,333.1488441528976
6/15,21.04296875,338.93002753518834
6/16,24.08203125,302.5612452734883
6/17,402.23828125,328.3731500870652
6/18,288.24609375,262.0481769231458
6/19,0,339.8081690810828
6/20,67.8125,342.26297301550693
6/21,0,336.9378693422509
6/22,136.921875,337.5915195676757
6/23,0,338.92405444259447
6/24,427.15625,342.53304361387444
6/25,750.6640625,341.0261644927992
6/26,730.7890625,336.9918693312721
6/27,726.015625,333.24953112130373
6/28,486.90625,197.479306432522
6/29,534.9453125,230.1609793164664
6/30,744.578125,336.2615552063483
7/1,732.375,335.24687813387976
7/2,717.25,338.17888420218964
7/3,715.6015625,337.6647786647083
7/4,723.4921875,336.7991427433672
7/5,647.046875,293.54857838531666
7/6,586.03125,270.235504920284
7/7,722.6484375,325.85334846012285
7/8,723.1953125,334.5690688821949
7/9,735.7421875,339.80114252052607
7/10,140.26718749999418,330.65561238593585
7/11,1334.2406250000058,337.5095698351925
7/12,735.875,333.869948580375
7/13,722.4609375,322.9695918221239
7/14,717.296875,319.84500335894217
7/15,681.203125,298.60748411466676
7/16,680.0625,401.5507270279384
7/18,720.1328125,414.18276690083616
7/19,746.6796875,329.7541715924939
7/20,716.9375,327.71217515367283
7/21,709.5703125,326.9503105207205
7/22,704.71875,322.7570070756806
7/23,676.5078125,318.43997932016356
7/24,677.328125,315.78660877959595
7/25,722.15625,330.5616232236756
7/26,707.9765625,325.63047020125106
7/27,685.40625,318.68342394282155
7/28,664.859375,306.5727358996978
7/29,643.8046875,299.79150072733563
7/30,681.5,311.8918988517252
7/31,547.546875,229.69953770024907
8/1,651.046875,289.9698926675288
8/2,691.84375,320.9067760894989
8/3,686.890625,320.46543249489883
8/4,697.171875,315.9288153271091
8/5,690.15625,321.03401720575556
8/6,685.5546875,318.48484983046853
8/7,698.2265625,320.3660334184404
8/8,692.875,320.42926773233495
8/9,687.046875,318.49950113667654
8/10,693.0625,319.4784975343528
8/11,682.703125,316.82743154797544
8/12,662.59375,304.11174280386564
8/13,642.2734375,299.8480299495989
8/14,683.640625,311.637557972158
8/15,681.6171875,308.8529970859863
8/16,667.546875,309.2665766583373
8/17,671.78125,311.59989645000957
8/18,639.9765625,289.9168228556712
8/19,650.6328125,303.324261645476
8/20,643.7109375,294.3101858606355
8/21,647.5234375,297.8596034451491
8/22,652.84375,302.9414232410906
8/23,628.7265625,293.47985679820704
8/24,601.1328125,278.1162382935743
