Last 365 - Daily (Solar)
Time,Value,Solar Radiation
5/21,267.25390625,228.0002452270546
5/22,56.17656249999709,442.03539951582457
5/23,632.8898437500029,445.9720391228648
5/24,382.265625,324.30102740277044
5/25,221.6796875,235.9490659441154
5/26,389.4296875,287.7054926462511
5/27,282.80859375,219.66675773095184
5/28,323.9921875,258.2943753362011
5/29,215.07421875,152.88765810377058
5/30,345.31640625,315.91671286710454
5/31,388.36328125,299.0671828838789
6/1,301.7265625,258.56837491525556
6/2,324.36328125,272.07591401634653
6/3,240.18359375,194.65463252365592
6/4,184.68359375,131.44572813256
6/5,279.69140625,212.7686684896797
6/6,162.9140625,113.62966701854022
6/7,382.56640625,333.0427520264638
6/8,318.75390625,290.1604132569499
6/9,384.21484375,331.97812299626986
6/10,387.26171875,337.5583484413247
6/11,326.36328125,248.48699317487072
6/12,356.109375,333.06305389106274
6/13,354.86328125,323.59654653900196
6/14,369.3515625,333.1488441528976
6/15,383.0625,338.93002753518834
6/16,341.78515625,302.5612452734883
6/17,333.76953125,328.3731500870652
6/18,326.125,262.0481769231458
6/19,399.16015625,339.8081690810828
6/20,375.234375,342.26297301550693
6/21,312.86328125,336.9378693422509
6/22,346.07421875,337.5915195676757
6/23,361.5234375,338.92405444259447
6/24,387.26953125,342.53304361387444
6/25,381.296875,341.0261644927992
6/26,370.2890625,336.9918693312721
6/27,362.89453125,333.24953112130373
6/28,253.51953125,197.479306432522
6/29,286.6328125,230.1609793164664
6/30,362.8359375,336.2615552063483
7/1,348.09375,335.24687813387976
7/2,355.55859375,338.17888420218964
7/3,317.4609375,337.6647786647083
7/4,326.859375,336.7991427433672
7/5,305.40234375,293.54857838531666
7/6,286.53125,270.235504920284
7/7,367.83984375,325.85334846012285
7/8,368.78515625,334.5690688821949
7/9,345.5546875,339.80114252052607
7/10,69.01171875,330.65561238593585
7/11,622.46484375,337.5095698351925
7/12,343.90234375,333.869948580375
7/13,364.046875,322.9695918221239
7/14,365.6640625,319.84500335894217
7/15,353.546875,298.60748411466676
7/16,322.76953125,401.5507270279384
7/18,323.4609375,414.18276690083616
7/19,344.78125,329.7541715924939
7/20,360.71875,327.71217515367283
7/21,310.02734375,326.9503105207205
7/22,348.8515625,322.7570070756806
7/23,311.765625,318.43997932016356
7/24,310.26953125,315.78660877959595
7/25,357.18359375,330.5616232236756
7/26,352.8046875,325.63047020125106
7/27,316.55859375,318.68342394282155
7/28,306.27734375,306.5727358996978
7/29,303.5625,299.79150072733563
7/30,319.84765625,311.8918988517252
7/31,237.5546875,229.69953770024907
8/1,315.63671875,289.9698926675288
8/2,337.3515625,320.9067760894989
8/3,310.94921875,320.46543249489883
8/4,341.4765625,315.9288153271091
8/5,327.76171875,321.03401720575556
8/6,341.23828125,318.48484983046853
8/7,355.62890625,320.3660334184404
8/8,359.31640625,320.42926773233495
8/9,306.265625,318.49950113667654
8/10,329.8203125,319.4784975343528
8/11,340.640625,316.82743154797544
8/12,319.1171875,304.11174280386564
8/13,315.0234375,299.8480299495989
8/14,350.90625,311.637557972158
8/15,355.4921875,308.8529970859863
8/16,312.2265625,309.2665766583373
8/17,316.4140625,311.59989645000957
8/18,327.078125,289.9168228556712
8/19,331.9609375,303.324261645476
8/20,323.6328125,294.3101858606355
8/21,286.6796875,297.8596034451491
8/22,310.9765625,302.9414232410906
8/23,319.328125,293.47985679820704
8/24,276.375,278.1162382935743
8/25,281.1171875,288.4723719896541
8/26,273.53125,286.36259954562405
8/27,154.9375,125.99210235240751
8/28,305.5234375,292.7465980980132
8/29,326.328125,294.9249463859532
8/30,327.03125,294.4881753129865
8/31,309.1328125,287.52315037035277
9/1,323.2265625,283.09303887446
9/2,270.984375,283.7182648624811
9/3,291.6484375,280.7628298091392
9/4,278.578125,251.3550666497192
9/5,274.625,262.5962470940398
9/6,297.890625,275.02480599337684
9/7,235.265625,217.6540356901112
9/8,244.3671875,212.22132643744405
9/9,242.453125,233.37481012671356
9/10,239.953125,211.7105146297512
9/11,137.28125,127.93901109525336
9/12,187.8125,143.55193526396758
9/13,258.078125,226.29873742961604
9/14,249.765625,237.4864718083845
9/15,254.9921875,223.15387583306645
9/16,257.1015625,213.9907536647387
9/17,289.796875,249.9736814498901
9/18,290.3359375,249.59596859746503
9/19,276.6015625,247.78563275580828
9/20,270.5625,249.56686592385017
9/21,257.59375,240.72732224232615
9/22,261.93513136594265,459.15064123099506
9/23,265.32268113405735,234.62841198855153
9/24,229.4453125,177.39582058373423
9/25,147.9453125,115.04291953601773
9/26,252.859375,238.1313559984849
9/27,228.7578125,233.68518990857729
9/28,233.3671875,230.04918166001633
9/29,204.6171875,207.40686154365537
9/30,214.0703125,188.4795451089998
10/1,289.015625,231.4131873134498
10/2,172.2578125,119.66903730233535
10/3,269.9609375,204.48448253257405
10/4,207.671875,160.2774168000453
10/5,252.8671875,173.79758581719295
10/6,200.84375,144.43474664026874
10/7,274.2734375,202.3570778369906
10/8,287.21875,216.8124481183714
