stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
1475,"OFFENHAUSER/(Hillview Terf)",,           ,           ,,,,,,
1476,"BLUESTONE/PORTMAN",,           ,           ,,,,,,
1477,"BLUESTONE/E. HUFFAKER",,           ,           ,,,,,,
1478,"VIRGINIA/(Butcher Boy)",,           ,           ,,,,,,
1479,"KIETZKE/REDFIELD",,           ,           ,,,,,,
148,"McCarran/Viewcrest Shopping Center",,           ,           ,,,,,,
1480,"KIETZKE/(WOODSIDE VILLAGE APTS D'",,           ,           ,,,,,,
1481,"KIETZKE/(CROSSROADS CENTER)",,           ,           ,,,,,,
1482,"Kietzke/(Peckham Square)",,           ,           ,,,,,,
1483,"MOANA/KIETZKE",,           ,           ,,,,,,
1484,"MOANA/YORI",,           ,           ,,,,,,
1485,"MOANA/SIGG",,           ,           ,,,,,,
1486,"MOANA/(THE ATRIUM)",,           ,           ,,,,,,
1487,"MOANA/GRANT",,           ,           ,,,,,,
1488,"PLUMB/PLUMAS",,           ,           ,,,,,,
1489,"ARLINGTON/LA RUE",,           ,           ,,,,,,
1490,"ARLINGTON/(WINGFIELD PARK)",,           ,           ,,,,,,
1491,"ARLINGTON/2ND",,           ,           ,,,,,,
1497,"VALLEY/ENTERPRISE",,           ,           ,,,,,,
1498,"VALLEY/HOOD",,           ,           ,,,,,,
1499,"VALLEY/DENSLOWE",,           ,           ,,,,,,
15,"VIRGINIA/BRINKBY",,  39.549751,-119.762070,,,,,,
150,"MAE ANNE/SIERRA HIGHLANDS",,           ,           ,,,,,,
1504,"MAYBERRY/HUNTER LAKE",,           ,           ,,,,,,
1505,"HUNTER LAKE/CALIFORNIA",,           ,           ,,,,,,
151,"MAE ANNE/MORNING STAR",,           ,           ,,,,,,
1513,"SPARKS/SPRINGLAND",,           ,           ,,,,,,
1514,"SPARKS/EXPRESS",,           ,           ,,,,,,
152,"MAE ANNE/SHADOW PARK",,           ,           ,,,,,,
153,"MAE ANNE/GRAND POINT",,           ,           ,,,,,,
1530,"KEYSTONE/UNIVERSITY",,           ,           ,,,,,,
1531,"KINGS ROW/MAJESTIC",,           ,           ,,,,,,
1532,"McCARRAN/LAS BRISAS",,           ,           ,,,,,,
1533,"ROBB/MAE ANNE (Long's)",,           ,           ,,,,,,
1534,"ROBB/(CANYON CREEK PARK)",,           ,           ,,,,,,
1535,"ROBB/BANKSIDE WAY",,           ,           ,,,,,,
1536,"ROBB/WALNUT CREEK",,           ,           ,,,,,,
1537,"ROBB/(SHARLANDS D'WAY)",,           ,           ,,,,,,
1538,"SUMMIT RIDGE/(INN AT SUMMIT RIDGE",,           ,           ,,,,,,
1539,"SUMMIT RIDGE/SKY MOUNTAIN",,           ,           ,,,,,,
1540,"SUMMIT RIDGE/SCENIC HILLS",,           ,           ,,,,,,
1541,"SKY VALLEY/SUMMIT RIDGE",,           ,           ,,,,,,
1542,"SKY VALLEY/(SOUTHRIDGE APTS)",,           ,           ,,,,,,
1543,"SKY MOUNTAIN/(VISTA RIDGE APTS D'",,           ,           ,,,,,,
1544,"SKY MOUNTAIN/(VISTA RIDGE WEST D'",,           ,           ,,,,,,
1545,"Sky Mountain/Arbor Ridge",,           ,           ,,,,,,
1546,"SUMMIT RIDGE/SKY MOUNTAIN",,           ,           ,,,,,,
1547,"SUMMIT RIDGE/(CITGO D'WAY)",,           ,           ,,,,,,
155,"ROBB/(McQUEEN H.S.)",,           ,           ,,,,,,
1550,"W. 4TH/CEMETERY",,           ,           ,,,,,,
1551,"W. 4TH/EDWARDS",,           ,           ,,,,,,
1552,"SKY VALLEY/SUMMIT RIDGE",,           ,           ,,,,,,
1553,"SUMMIT RIDGE/(VISTA WEST D'WAY)",,           ,           ,,,,,,
1554,"SKY MOUNTAIN/SUMMIT RIDGE",,           ,           ,,,,,,
1555,"Robb/(Scolari's)",,           ,           ,,,,,,
1556,"ROBB/BIG SPRINGS",,           ,           ,,,,,,
1557,"ROBB/BANKSIDE",,           ,           ,,,,,,
1558,"ROBB/(CANYON CREEK PARK)",,           ,           ,,,,,,
1559,"ROBB/MAE ANNE (SE)",,           ,           ,,,,,,
156,"ROBB/(NW LIBRARY)",,  39.521263,-119.719498,,,,,,
1560,"McCARRAN/LAS BRISAS",,           ,           ,,,,,,
1561,"KINGS ROW/KING JAMES",,           ,           ,,,,,,
1562,"KINGS ROW/MAJESTIC",,           ,           ,,,,,,
1563,"KEYSTONE/UNIVERSITY",,           ,           ,,,,,,
1564,"KIRMAN/AITKEN",,           ,           ,,,,,,
1565,"KIRMAN/CURTI",,           ,           ,,,,,,
1566,"WRONDEL/(GROVE GARDEN APTS)",,           ,           ,,,,,,
1567,"GROVE/YORI (S SIDE GROVE)",,           ,           ,,,,,,
1568,"GROVE/KIETZKE",,           ,           ,,,,,,
157,"ROBB/(McQUEEN H.S.)",,           ,           ,,,,,,
1570,"KIRMAN/PLUMB",,           ,           ,,,,,,
1571,"LOCUST/COLORADO RIVER",,           ,           ,,,,,,
1572,"RYLAND/LOCUST",,           ,           ,,,,,,
1573,"KIRMAN/AITKEN",,           ,           ,,,,,,
1574,"KIRMAN/KUENZLI",,           ,           ,,,,,,
1577,"SILVERADA/TOM SAWYER",,           ,           ,,,,,,
1578,"4TH/SUTRO",,           ,           ,,,,,,
1579,"SUTRO/4TH",,           ,           ,,,,,,
158,"ROBB/GLEN AULIN",,           ,           ,,,,,,
1580,"MOANA/KAUAI",,           ,           ,,,,,,
1581,"W. 7TH/McCARRAN",,           ,           ,,,,,,
1582,"ARLINGTON/4TH",,           ,           ,,,,,,
1584,"HIGHLAND/BEECH",,           ,           ,,,,,,
159,"MAE ANNE/GRAND POINT",,  39.541496,-119.711220,,,,,,
1596,"SILVERADA/CARVILLE",,           ,           ,,,,,,
1598,"4TH/(KEYSTONE SQUARE)",,           ,           ,,,,,,
160,"MAE ANNE/SHADOW PARK",,  39.538906,-119.711258,,,,,,
1601,"MEADOWOOD MALL CIRCLE/VIRGINIA",,           ,           ,,,,,,
1608,"MCCARRAN/MONTE VISTA VILLAGE",,           ,           ,,,,,,
1609,"El RANCHO/MOORE PARK CT.",,           ,           ,,,,,,
161,"MAE ANNE/QUAIL RUN",,  39.535824,-119.711288,,,,,,
1612,"CORPORATE/CAPITAL",,           ,           ,,,,,,
1613,"ROCK/PROSPECT",,           ,           ,,,,,,
1614,"MERCHANT/SULLIVAN",,           ,           ,,,,,,
